drill_or_video_name,primary_cue,layer,progression_level,equipment,description,sets_x_reps,source,source_url,timestamp,phase_to_start,density_score,notes,sources_count
Ribs-Down Breathing Reset (anterior core position),Staying Closed,2 - Pattern,1,"none, mat","Supine or half-kneeling: bring ribs down and pelvis into slight posterior tilt to re-establish the canister, then full exhalation to feel anterior core engage. Foundational for rib-cage control.",2 x 5 breaths,Eric Cressey,https://ericcressey.com/6-reasons-anterior-core-stability-exercises/,,Phase 3,4,"Step 1 = ribs down + posterior tilt; step 2 = breathe and fully exhale in that zone. relevance: gives Landon the neutral-trunk position he must hold while the hips rotate (separation prerequisite)",1
Problem Solving Your Front Leg Mechanics,Staying Closed,1 - Diagnosis,2,"camera (240fps), mound","Breaks down front-leg bracing as a commonly misunderstood concept — the lead leg straightens in RESPONSE to the back hip continuing to rotate around the front hip, not by actively pushing. Diagnostic for early front-side fly-open and a soft (non-blocking) front leg.",1 video,Tread Athletics YouTube,https://www.youtube.com/watch?v=J7SlDhs85n4,,Phase 3,4,"relevance: diagnoses Landon's exact fault — lead leg lands open / no brace, so the block never decelerates the pelvis to whip the arm",1
Efficient Front Leg Mechanics (lead-leg block),Staying Closed,1 - Diagnosis,3,"Video, force plate (concept)","The stride/lead leg must 'slam on the brakes' applying posterior force to stop momentum and catapult the body and ball toward the plate. Lead-leg posterior force correlates with velocity (back-leg drive does not). Explains the brace that converts hip drive into arm whip.",reference read,Driveline Blog,https://www.drivelinebaseball.com/2015/12/efficient-front-leg-mechanics-that-lead-to-high-velocity/,,Phase 4,5,"THE article on the lead-leg block — the single most important feature for Landon (converts back-hip drive into a braced front side that whips the arm). relevance: conceptual/diagnostic basis for the lead-leg block",1
Elevated Trail Leg Drill (Lead Leg Block Progression),Staying Closed,2 - Pattern,2,"plyo ball, mound or flat ground","Trail leg elevated behind on a box so the athlete cannot push off; forces the front side to post and feel the natural sequencing of a lead-leg block instead of leaking back-hip energy. Front leg learns to brace and extend in response to pelvic rotation.",3 x 5 each,Tread Athletics YouTube,https://www.youtube.com/watch?v=zIinAEg9NIg,,Phase 3,4,"Tread Lead Leg Block progression series — entry drill. relevance: directly trains the lead-leg block / front-side brace Landon lacks; removes back-hip push so he can't leak",1
6 Drills To Help Fix Your Front Leg,Staying Closed,2 - Pattern,2,"plyo ball, band, box","Six-drill front-leg sequence (posting, anti-collapse, brace-and-extend variations) to stop the lead leg from collapsing or landing open; builds a stable front side to rotate around.","6 drills, 3-5 reps each",Tread Athletics YouTube,https://www.youtube.com/watch?v=1uv6ZhZ4vOo,,Phase 3,5,"Tread front-leg drill compilation. relevance: multiple variations to fix lead-leg-block / front-side collapse — Landon's single most important feature",1
Gain Velocity by Fixing Your Glove Arm (3 Glove Arm Drills),Staying Closed,2 - Pattern,2,"glove, plyo ball","Three glove-arm drills to stay closed: control the glove and pull the lead elbow down to the side as you rotate, holding the front side a beat longer rather than flying the glove open.","3 drills, 5 reps",Tread Athletics YouTube,https://www.youtube.com/watch?v=maBIuUqxnx0,,Phase 3,4,"relevance: glove-side discipline keeps the front side closed — directly attacks Landon's shoulders flying open early",1
Roll-In Throws,Staying Closed,2 - Pattern,2,"Plyo Balls (450g/blue, 225g/red), wall","Take walking steps with toes pointed at the target while MINIMIZING hip rotation; the throwing arm drives straight back as the stride foot contacts, then throw. Constrains the lower half to keep the front side closed and arm back.",2 x 5,Driveline Blog (Plyo Ball Routine),https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/,,Phase 3,5,"Throwing-program sequence member; 450g blue + 225g red plyo. Keeps toes/front side closed while loading the arm. relevance: trains staying closed and a delayed front side — the headline fix for early front-hip open",1
Top 3 Drills for PERFECT Mechanics — Pec Sequence,Staying Closed,2 - Pattern,2,plyo ball,"Pre-set on the glove side with the ball resting on the throwing-side pec; from that loaded position fire hip-then-shoulder-then-arm in sequence so the trunk stays closed while the lower half initiates. Isolates the separation feel without a full delivery.",3 x 5,Trevor Bauer YouTube (Top 3 Drills for PERFECT Mechanics),https://www.facebook.com/TrevorBauerOfficial/videos/3-drills-for-perfect-mechanics/668322439484135/,,Phase 3,4,"Cue: hip leads, trunk waits. relevance: trains hip-shoulder separation feel and keeps the trunk closed while the hips rotate — directly attacks shoulders-fly-open",1
Quick Pick Drill,Staying Closed,2 - Pattern,2,plyo ball,"Quick-pick constraint drill highlighted to clean up sequencing and timing into a closed front side; fast rep to groove rotate-late pattern.",8-10 reps,Tread Athletics (LinkedIn),https://www.linkedin.com/posts/tread-athletics-00a296207_drill-highlight-quick-pick-this-is-a-activity-6808848128033263616-jpTg,,Phase 3,3,"Tread drill highlight. relevance: grooves late rotation/closed sequencing — counters Landon's early front-hip swing",1
Pivot Pickoff Throw (separation/coil),Staying Closed,2 - Pattern,2,"plyo ball or baseball","Pivot-pickoff constraint throw: counter-rotate and hang the throwing hand back, then drive the back hip and wrist over the elbow. Forces the pelvis to lead while the trunk stays back, building elite hip-shoulder separation and forward-rotation sequencing.",8-10 throws,Tread Athletics YouTube,https://www.youtube.com/watch?v=F1hduSf5J_Y,,Phase 3,5,"Surfaced by Tread (Staying Closed) + Driveline (Hip Rotation, https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/ ; 1kg green + 450g blue plyo) + Bauer (Arm Path plyo). High-confidence cross-source staple. relevance: builds the coil + separation Landon never opens AND back-hip drive before the arm",3
Side-Lying Extension-Rotation (windmill),Staying Closed,2 - Pattern,2,"none, mat","Side-lying with knees tucked, reach top arm open and rotate the T-spine while the floor limits ROM; drives scap retraction/depression and humeral external rotation. Entry-level T-spine rotation drill.",2 x 6-8 each side,Eric Cressey,https://ericcressey.com/thoracic-spine-mobility-drills-throwers/,,Phase 3,4,"T-spine extension/rotation should drive scap retraction, not lumbar rotation. relevance: builds the T-spine rotation capacity that lets Landon's trunk stay neutral/closed while the hips rotate (separation prerequisite)",1
Bent-Over T-Spine Rotation,Staying Closed,2 - Pattern,2,none,"Quadruped or bent-over, hand behind head, rotate the upper back open and closed isolating thoracic rotation while bracing the core so the lumbar spine stays quiet.",2 x 8 each side,Eric Cressey,https://ericcressey.com/thoracic-spine-mobility-drills-throwers/,,Phase 3,3,"Keep ribs down so motion comes from T-spine not low back. relevance: trains thoracic rotation independent of the pelvis — the exact capacity Landon needs to separate trunk from hips",1
7 Drills To Increase Hip To Shoulder Separation,Staying Closed,2 - Pattern,2,"plyo balls, band","Seven constraint drills to grow hip-shoulder separation: pelvis-underneath-neutral-trunk and counter-rotation variations; keep the front shoulder closed while the pelvis rotates.","7 drills, 4-5 reps",Tread Athletics YouTube,https://www.youtube.com/watch?v=_5BEUF9XX_s,,Phase 3,5,"Tread separation series. relevance: trains trunk-neutral-while-hips-rotate — exactly the separation Landon can't create",1
