drill_or_video_name,primary_cue,layer,progression_level,equipment,description,sets_x_reps,source,source_url,timestamp,phase_to_start,density_score,notes
Seated Trunk Rotation Test,Diagnostic,1 - Diagnosis,1,"chair, goniometer or dowel","Sit tall, dowel across shoulders, rotate trunk each direction; minimum standard is 45 degrees per side. Pitchers with less than 45deg to the throwing side compensate with lumbar rotation or scap protraction.","2 x slow each side",Eric Cressey,https://ericcressey.com/normal-thoracic-spine-mobility/,,Phase 3,4,"Assess T-spine rotation before prescribing. relevance: a sub-45deg deficit forces the trunk to fly open instead of separating, so this is the gate test for Landon's staying-closed / separation prerequisite."
Measuring Hip Internal Rotation (seated 90/90 test),Diagnostic,1 - Diagnosis,1,"table or bench","Sit at edge of table, hips/knees at 90, internally rotate the femur without letting the hip hike. Compares lead-leg HIR to back-leg HIR; a lead-leg deficit is common in pitchers with elbow/shoulder pain.","2 x each hip",Eric Cressey,https://ericcressey.com/measuring-hip-internal-rotation/,,Phase 3,4,"Identifies hip IR deficit (HIRD). relevance: lead-leg HIR deficit makes the front hip open early and the lead leg land open — the root of Landon's lost separation window."
Flexibility Deficits in Pitchers (assessment overview),Diagnostic,1 - Diagnosis,1,none,"Cressey's catalog of the key pitcher deficits: lead-leg hip internal rotation deficit, hip extension deficit, GIRD, and T-spine restriction. Frames which limitations force mechanical compensations.",reference read,Eric Cressey,https://ericcressey.com/flexibility-deficits-in-pitchers/,,Phase 3,5,"When front hip opens too soon from muscular restriction, the arm lags out of the scapular plane. relevance: maps Landon's whole fault chain (early front side, push arm) to specific physical deficits to screen."
Side-Lying Extension-Rotation (windmill),Staying Closed,2 - Pattern,2,"none, mat","Side-lying with knees tucked, reach top arm open and rotate the T-spine while the floor limits ROM; drives scap retraction/depression and humeral external rotation. Entry-level T-spine rotation drill.",2 x 6-8 each side,Eric Cressey,https://ericcressey.com/thoracic-spine-mobility-drills-throwers/,,Phase 3,4,"T-spine extension/rotation should drive scap retraction, not lumbar rotation. relevance: builds the T-spine rotation capacity that lets Landon's trunk stay neutral/closed while the hips rotate (separation prerequisite)."
Bent-Over T-Spine Rotation,Staying Closed,2 - Pattern,2,none,"Quadruped or bent-over, hand behind head, rotate the upper back open and closed isolating thoracic rotation while bracing the core so the lumbar spine stays quiet.",2 x 8 each side,Eric Cressey,https://ericcressey.com/thoracic-spine-mobility-drills-throwers/,,Phase 3,3,"Keep ribs down so motion comes from T-spine not low back. relevance: trains thoracic rotation independent of the pelvis — the exact capacity Landon needs to separate trunk from hips."
Improving Thoracic Mobility in Throwers (article),Staying Closed,1 - Diagnosis,2,"foam roller","Cressey's off-season T-spine progression for throwers: side-lying windmill, bent-over rotation, foam-roller extension. T-spine delivers the scapula; a deficit lets the humeral head migrate forward and stress the pec.",reference read,Eric Cressey,https://ericcressey.com/thoracic-spine-mobility-drills-throwers/,,Phase 3,5,"Inadequate T-spine mobility = forward humeral migration + pec strain. relevance: the T-spine library that underpins Landon's staying-closed and clean arm-path prerequisites."
How Rib Cage Positioning Impacts the Pitching Delivery (article),Staying Closed,1 - Diagnosis,2,none,"Explains that an extended posture with poor rib-cage/pelvic control makes it hard to rotate efficiently at front-foot-strike while holding the line to home. Poor control = misses up and flat breaking balls.",reference read,Eric Cressey,https://ericcressey.com/how-rib-cage-positioning-impacts-the-pitching-delivery/,,Phase 3,5,"Thorax is the center of force transfer; uncontrolled rib cage prevents efficient rotation at foot strike. relevance: directly explains Landon's shoulders-fly-open / trunk-not-neutral fault as a rib-cage-control problem."
Ribs-Down Breathing Reset (anterior core position),Staying Closed,2 - Pattern,1,"none, mat","Supine or half-kneeling: bring ribs down and pelvis into slight posterior tilt to re-establish the canister, then full exhalation to feel anterior core engage. Foundational for rib-cage control.",2 x 5 breaths,Eric Cressey,https://ericcressey.com/6-reasons-anterior-core-stability-exercises/,,Phase 3,4,"Step 1 = ribs down + posterior tilt; step 2 = breathe and fully exhale in that zone. relevance: gives Landon the neutral-trunk position he must hold while the hips rotate (separation prerequisite)."
Reverse Crunch (ribs-to-pelvis anterior core),Staying Closed,3 - Loading,2,"mat","Posterior pelvic tilt curling the pelvis toward the ribs without spinal hyperextension; teaches active control of the ribs-to-pelvis relationship under a little load.",3 x 8-10,Eric Cressey,https://ericcressey.com/lumbar-flexion-strength-training-programs-reverse-crunch/,,Phase 4,3,"Bring pelvis and rib cage together; controls anterior pelvic tilt. relevance: anti-extension core strength so Landon doesn't dump into extension and fly open at landing."
Pitching Performance: Trunk Position at Foot Strike (article),Staying Closed,1 - Diagnosis,3,none,"Cressey on what good trunk position at front-foot-strike looks like and the strength/control that produces it — stacked rib cage over pelvis, controlled lateral and rotational lean.",reference read,Eric Cressey,https://ericcressey.com/pitching-performance-trunk-position-foot-strike-3/,,Phase 4,4,"Trunk must arrive stacked and controlled at foot strike. relevance: the strength-coach picture of the braced, neutral trunk Landon currently loses when his shoulders fly open."
Lying Knee-to-Knee Stretch,Hip Rotation,2 - Pattern,2,"mat","Supine, soles together; actively internally rotate the femurs so the stretch occurs at the hips not the knees. Direct hip IR mobilization. Coach the IR action to avoid knee valgus stress.",2 x 30-45s,Eric Cressey,https://ericcressey.com/newsletter152html/,,Phase 3,4,"Actively IR the femurs — stretch is at the hip, never let the knees collapse. relevance: opens lead-leg hip internal rotation so the front hip can post instead of swinging open early."
Supine Dynamic Hip Internal Rotation Stretch,Hip Rotation,2 - Pattern,2,none,"Supine dynamic drill rotating the femur into internal rotation through repeated reps to restore hip IR ROM; Cressey's pair to the knee-to-knee for HIRD.",2 x 8-10 each hip,Eric Cressey,https://ericcressey.com/flexibility-deficits-in-pitchers/,,Phase 3,3,"Dynamic, not held — grooves usable hip IR range. relevance: lead-leg hip IR is the prerequisite for the lead-leg block and for stopping the early front-side open."
Kneeling Glute Mobilization (hip IR),Hip Rotation,2 - Pattern,2,none,"Half-kneeling drill that tactfully works hip internal rotation by rotating over a fixed femur without cranking the joint. One of Cressey's favorite hip-IR drills.",2 x 8 each side,Eric Cressey,https://www.facebook.com/CresseyTrainingSystems/videos/1027330287318075/,,Phase 3,3,"Work hip IR without cranking the joint. relevance: low-stress hip-IR builder for the lead-leg-block / front-hip-post prerequisite."
Split-Stance Kneeling Adductor Mob,Hip Rotation,2 - Pattern,2,none,"Half-kneeling adductor rock-back that mobilizes the hip while the athlete maintains core stability and neutral spine; parallels riding the back hip down the mound.",2 x 8 each side,Eric Cressey,https://ericcressey.com/5-strategies-quickly-increasing-mobility/,,Phase 3,3,"Mobility WITH core stability, not just passive range. relevance: trains hip mobility under control so the back hip can clear and the front hip post without the trunk dumping open."
