drill_or_video_name,primary_cue,layer,progression_level,equipment,description,sets_x_reps,source,source_url,timestamp,phase_to_start,density_score,notes
Reverse Throws (Plyo),Arm Path,2 - Pattern,1,"Plyo Balls (450g/blue, 225g/red), wall","Kneel on throwing-arm-side knee, hold plyo ball low, counter-rotate the torso and drive the arm back through the slot to throw against a wall behind you. Trains the posterior shoulder and scap to accept high-velocity deceleration force plus T-spine mobility. Always the FIRST drill in the Driveline plyo routine.","2 x 5","Driveline Blog (Plyo Ball Routine)",https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/,,Phase 3,4,"First drill in the Driveline plyo-ball throwing-program sequence; ball weight 450g/225g (~16/8oz plyo, soft, sub-max intent). relevance: builds posterior-shoulder/scap durability that lets the arm whip instead of push off a braced front side"
Pivot Pickoff Throws,Hip Rotation,2 - Pattern,2,"Plyo Balls (1kg/green, 450g/blue), wall","Start side-on; counter-rotate and hang the throwing hand back, then drive the back hip and wrist over the elbow into the wall. Trains forward rotation sequencing, medial-forearm strength, and pronation timing. Performed early in the plyo routine after reverse throws.","2 x 5","Driveline Blog (Plyo Ball Routine)",https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/,,Phase 3,5,"Throwing-program sequence member; 1kg green + 450g blue plyo. Forces back-hip drive before arm — directly targets the drop-to-rotate failure. relevance: trains back-hip rotation/clearing so the trail hip stops leaking energy"
Pivot Pickoff Throws (slow-mo demo),Hip Rotation,2 - Pattern,2,"Plyo Balls, wall","Slow-motion / high-speed video breakdown of the pivot pickoff — counter-rotate, hang the hand, fire the hips, drive wrist over elbow. Visual reference for the rotation-then-arm sequence.","8 throws","Driveline YouTube",https://www.youtube.com/watch?v=espdyF-BEUU,,Phase 3,4,"Visual companion to the Pivot Pickoff drill row. relevance: shows the back-hip-drive-before-arm timing Landon is missing in the drop-to-rotate transition"
Roll-In Throws,Staying Closed,2 - Pattern,2,"Plyo Balls (450g/blue, 225g/red), wall","Take walking steps with toes pointed at the target while MINIMIZING hip rotation; the throwing arm drives straight back as the stride foot contacts, then throw. Constrains the lower half to keep the front side closed and arm back.","2 x 5","Driveline Blog (Plyo Ball Routine)",https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/,,Phase 3,5,"Throwing-program sequence member; 450g blue + 225g red plyo. Keeps toes/front side closed while loading the arm. relevance: trains staying closed and a delayed front side — the headline fix for early front-hip open"
Rocker Drill (Plyo),Hip Rotation,2 - Pattern,3,"Plyo Ball (225g/red) or baseball","Set feet wider than stride with front foot slightly closed to the target; rock back and forth 1-3 times to load the back leg and create rhythm, then throw to a target. Trains weight shift, back-leg loading, and front-leg strength. Prescribed a few weeks in after other mechanics clean up.","2 x 5","Driveline Blog (Plyo Ball Routine)",https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/,,Phase 4,4,"Throwing-program sequence member; finishes in a delivery-like position. relevance: trains back-hip load-and-drive and weight shift into a braced front leg (lead-leg block)"
Drop Step Throws,Hip Rotation,2 - Pattern,2,"Plyo Balls (450g/blue, 225g/red)","Step back with the back leg, gather into a coil keeping the back hip externally rotated and the outside of the foot anchored, then throw. Anchors the back leg and improves glute/hamstring activation into the drive.","2 x 5","Driveline Blog (Plyo Ball Routine)",https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/,,Phase 3,4,"Throwing-program sequence member; precursor to Walking Windups. relevance: anchors back hip in external rotation so it can rotate/clear instead of leaking"
Walking Windup Throws,Staying Closed,2 - Pattern,3,"Plyo Ball (225g/red) or baseball","A walker step into the leg kick using momentum directed at the target, progressing from drop-step throws into a full-delivery feel. LAST drill in the Driveline plyo routine.","2 x 5","Driveline Blog (Plyo Ball Routine)",https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/,,Phase 4,4,"Final drill in the plyo-ball throwing-program sequence; blends pattern toward the mound. relevance: integrates staying-closed + momentum into a delivery-like pattern before transfer"
Step Back Drill,Hip Rotation,2 - Pattern,2,"Plyo Ball or baseball","Face the target, take one step back with the drive leg, then step forward to throw. Simplifies the load so the athlete can feel back-leg engagement before adding momentum.","2 x 5","Driveline Constraint Drills (Foundations of Pitching)",https://edu.drivelinebaseball.com/courses/foundationsofpitching,,Phase 3,3,"Constraint-drill family; entry-level back-leg loader. relevance: isolates trail-leg drive feeding the hip rotation Landon stalls on"
Janitor Drill,Staying Closed,2 - Pattern,3,"Plyo Ball, wall","Constraint drill (studied in Driveline's drill-kinematics work) that constrains the lower half/arm path to feel sequencing — counter-rotation and delayed trunk rotation while the arm works back.","2 x 5","Driveline Constraint Drills",https://edu.drivelinebaseball.com/courses/pitching-102-plyocare-ball-drills,,Phase 4,3,"Constraint-drill family used in Driveline drill-constraint kinematics studies. relevance: trains delayed trunk rotation / staying closed while hips lead"
Plyo Ball Routine — Warmup Progression,Velocity / CNS,2 - Pattern,2,"Plyo Balls (450g-2kg heavy, 150g-450g medium, 100g-225g light), wall","Three-round constraint warmup: Round 1 heavy balls (450g-2kg) at 25-50% intent, Round 2 medium (150g-450g) at 50-75%, Round 3 lightest (100g-225g) at 50-75%. Sub-max constraint work every throwing day; never max intent.","3 rounds x 5","Driveline Blog (Plyo Ball Routine)",https://www.drivelinebaseball.com/2017/12/plyo-velocity-weighted-balls-replication/,,Phase 3,5,"Daily sub-max constraint routine; lightest 100g ball ~3.5oz underload CNS work is Landon-appropriate. 2kg/1kg heavy plyos are HEAVY but used at low intent for pattern, not max-intent overload. relevance: low-stress daily pattern work for staying closed + arm path without medial-elbow load"
