week,day,distance_ft,throws,intensity,drill_or_note,day_total_throws,volume
,,,,,"PARSE_NOTE: ['Following phase 1 pending appropriate ramp up ', None, None, None, None, None, None, None, None, None, None, None, Non",,
Week 1,Day 1,45.0,8.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 1,Day 1,60.0,8.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 1,Day 1,75.0,10.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 1,Day 1,90.0,20.0,0.75,,,
Week 1,Day 1,105.0,10.0,0.8,,,
Week 1,Day 1,90.0,3.0,0.8,80% on a line,,
Week 1,Day 1,75.0,6.0,0.8,80% on a line,,
Week 1,Day 2,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 1,Day 2,60.0,5.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 1,Day 2,75.0,8.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 1,Day 2,90.0,25.0,0.75,,,
Week 1,Day 3,45.0,8.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 1,Day 3,60.0,8.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 1,Day 3,75.0,10.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 1,Day 3,90.0,10.0,0.75,,,
Week 1,Day 3,105.0,10.0,0.8,,,
Week 1,Day 3,120.0,10.0,0.85,,,
Week 1,Day 3,90.0,3.0,0.8,80% on a line,,
Week 1,Day 3,75.0,6.0,0.8,80% on a line,,
Week 2,Day 1,45.0,8.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 2,Day 1,60.0,8.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 2,Day 1,75.0,8.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 2,Day 1,90.0,8.0,0.75,,,
Week 2,Day 1,105.0,20.0,0.8,,,
Week 2,Day 1,120.0,10.0,0.85,,,
Week 2,Day 1,90.0,4.0,0.8,80% on a line,,
Week 2,Day 1,75.0,5.0,0.8,80% on a line,,
Week 2,Day 2,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 2,Day 2,60.0,5.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 2,Day 2,75.0,8.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 2,Day 2,90.0,10.0,0.75,,,
Week 2,Day 2,105.0,10.0,0.8,,,
Week 2,Day 2,50.0,15.0,0.8,"On the bump, move plate in to 50 feet ; groove fastball",,
Week 2,Day 3,45.0,8.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 2,Day 3,60.0,8.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 2,Day 3,75.0,5.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 2,Day 3,90.0,5.0,0.75,,,
Week 2,Day 3,105.0,15.0,0.8,,,
Week 2,Day 3,120.0,15.0,0.85,,,
Week 2,Day 3,90.0,3.0,0.88,85-90% on a line,,
Week 2,Day 3,75.0,3.0,0.88,85-90% on a line,,
Week 2,Day 3,60.0,12.0,0.75,,,
Week 3,Day 1,45.0,8.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 3,Day 1,60.0,8.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 3,Day 1,75.0,5.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 3,Day 1,90.0,5.0,0.75,,,
Week 3,Day 1,105.0,10.0,0.8,,,
Week 3,Day 1,120.0,10.0,0.85,,,
Week 3,Day 1,105.0,3.0,1.0,pulldown,,
Week 3,Day 1,90.0,3.0,1.0,pulldown,,
Week 3,Day 1,60.0,10.0,0.75,,,
Week 3,Day 1,50.0,20.0,0.8,"On the bump, move plate in to 50 feet ; groove fastball",,
Week 3,Day 2,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 3,Day 2,60.0,5.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 3,Day 2,75.0,8.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 3,Day 2,90.0,8.0,0.75,,,
Week 3,Day 2,105.0,15.0,0.8,,,
Week 3,Day 3,45.0,10.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 3,Day 3,60.0,5.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 3,Day 3,75.0,8.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 3,Day 3,90.0,8.0,0.75,,,
Week 3,Day 4,45.0,8.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 3,Day 4,60.0,8.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 3,Day 4,75.0,5.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 3,Day 4,90.0,5.0,0.75,,,
Week 3,Day 4,105.0,10.0,0.8,,,
Week 3,Day 4,120.0,10.0,0.85,,,
Week 3,Day 4,105.0,3.0,1.0,pulldown,,
Week 3,Day 4,90.0,3.0,1.0,pulldown,,
Week 3,Day 4,60.0,10.0,0.75,,,
Week 3,Day 4,50.0,20.0,0.8,"On the bump, move plate in to 50 feet ; groove fastball",,
Week 4,Day 1,45.0,8.0,0.5,"High / pec load 10 at 30-8 throws, snapsnap rocker X 5, self toss X 5",,
Week 4,Day 1,60.0,8.0,0.6,"Figure 8 rocker 25% of throws, half kneel start 25% of throws, in the hole 25% of throws, step back 25% of throws",,
Week 4,Day 1,75.0,5.0,0.7,"QB drop back 50% throws, lateral bound 50% throws",,
Week 4,Day 1,90.0,5.0,0.75,,,
Week 4,Day 1,105.0,8.0,0.8,,,
Week 4,Day 1,120.0,5.0,0.85,,,
Week 4,Day 1,105.0,2.0,1.0,pulldown,,
Week 4,Day 1,90.0,2.0,1.0,pulldown,,
