drill_or_video_name,primary_cue,layer,progression_level,equipment,description,sets_x_reps,source,source_url,timestamp,phase_to_start,density_score,notes
Elevated Trail Leg Drill (Lead Leg Block Progression),Staying Closed,2 - Pattern,2,"plyo ball, mound or flat ground","Trail leg elevated behind on a box so the athlete cannot push off; forces the front side to post and feel the natural sequencing of a lead-leg block instead of leaking back-hip energy. Front leg learns to brace and extend in response to pelvic rotation.","3 x 5 each",Tread Athletics YouTube,https://www.youtube.com/watch?v=zIinAEg9NIg,,Phase 3,4,"Tread Lead Leg Block progression series — entry drill. relevance: directly trains the lead-leg block / front-side brace Landon lacks; removes back-hip push so he can't leak."
"Fixing Your Lead Leg Block: Hip Rotation w/ Strap",Hip Rotation,2 - Pattern,3,"resistance strap/band, partner or anchor","Strap anchored to drive hip rotation into a braced front leg; teaches the back hip to clear/rotate AROUND a posted front leg rather than drifting open. The front leg blocks and extends as the pelvis rotates through.","3 x 5 each",Tread Athletics YouTube,https://www.youtube.com/watch?v=o3SqB6symC0,,Phase 3,5,"Tread Lead Leg Block series — strap-constraint variation. relevance: fixes the leaking back hip + open front-leg landing; trains rotate-into-block, Landon's #1/#2 seam."
Problem Solving Your Front Leg Mechanics,Staying Closed,1 - Diagnosis,2,"camera (240fps), mound","Breaks down front-leg bracing as a commonly misunderstood concept — the lead leg straightens in RESPONSE to the back hip continuing to rotate around the front hip, not by actively pushing. Diagnostic for early front-side fly-open and a soft (non-blocking) front leg.",,Tread Athletics YouTube,https://www.youtube.com/watch?v=J7SlDhs85n4,,Phase 3,4,"relevance: diagnoses Landon's exact fault — lead leg lands open / no brace, so the block never decelerates the pelvis to whip the arm."
"Throw Harder by Mastering the Lead Leg Block [Full Routine]",Staying Closed,3 - Loading,3,"plyo balls, baseball, band","Full lead-leg-block routine: progresses from constraint pattern work into loaded throws emphasizing high ground reaction force and front-knee extension at max external rotation. Front leg posts to decelerate the pelvis and redirect energy up the chain.","follow routine",Tread Athletics YouTube,https://www.youtube.com/watch?v=wtjFwRegY_M,,Phase 4,5,"Tread Lead Leg Block 'Full Routine' series. relevance: the headline fix for Landon — converts hip drive into a braced front side that whips, not pushes, the arm."
6 Drills To Help Fix Your Front Leg,Staying Closed,2 - Pattern,2,"plyo ball, band, box","Six-drill front-leg sequence (posting, anti-collapse, brace-and-extend variations) to stop the lead leg from collapsing or landing open; builds a stable front side to rotate around.","6 drills, 3-5 reps each",Tread Athletics YouTube,https://www.youtube.com/watch?v=1uv6ZhZ4vOo,,Phase 3,5,"Tread front-leg drill compilation. relevance: multiple variations to fix lead-leg-block / front-side collapse — Landon's single most important feature."
"""Using Your Legs"" — Ground Reaction Forces and Energy Flow",Hip Rotation,1 - Diagnosis,2,none,"Explains how a good lead leg block produces high ground reaction forces and redirects back-leg momentum up the chain to torso and arm; frames why a leaking back hip + soft front leg bleeds velocity. Conceptual primer for the block.",,Tread Athletics blog,https://treadathletics.com/energy-flow/,,Phase 3,4,"relevance: explains why Landon's leaked back hip + open front leg = no energy transfer to the arm (push, not whip)."
Lead Hip Flexion (hamstring loaded),Hip Rotation,3 - Loading,2,"cable or band, bench","Weight-room lead-leg-block builder: loaded hip flexion biased to the hamstring to strengthen the front-hip's ability to absorb and post against landing forces.","3 x 8 each",Tread Athletics (X / @TreadHQ),https://x.com/TreadHQ/status/1883960310689857815,,Phase 3,3,"Tread 'lead leg block exercises in the weight room' list (1/7). relevance: builds front-hip capacity to brace — prerequisite for the lead-leg block Landon can't currently hold."
Lead Hip Internal Rotation,Staying Closed,3 - Loading,2,"band or cable","Loaded lead-hip IR so the front hip can pull back/rotate around a posted leg and the pelvis can clear without the front side flying open.","3 x 8 each",Tread Athletics (X / @TreadHQ),https://x.com/TreadHQ/status/1883960310689857815,,Phase 3,3,"Tread weight-room lead-leg-block list (2/7). relevance: front-hip IR lets the lead leg block instead of landing open — directly targets Landon's early fly-open."
Hip Airplanes,Hip Rotation,2 - Pattern,2,"optional band/cable","Single-leg hip airplane to train controlled hip IR/ER and single-leg stability — the front-leg posting/balance demand of a lead-leg block.","3 x 5 each",Tread Athletics (X / @TreadHQ),https://x.com/TreadHQ/status/1883960310689857815,,Phase 3,3,"Tread weight-room lead-leg-block list (3/7). relevance: trains the front leg to post and rotate around without collapsing — the brace Landon lacks."
Rotational KB Swing,Hip Rotation,3 - Loading,3,"kettlebell","Rotational kettlebell swing to train ballistic transverse-plane hip drive and clearing — back-hip rotation power feeding into a braced front side.","3 x 6 each",Tread Athletics (X / @TreadHQ),https://x.com/TreadHQ/status/1883960310689857815,,Phase 3,3,"Tread weight-room lead-leg-block list (4/7). relevance: trains back-hip rotation/clearing power so the hip drives the block rather than leaking."
Split-Stance MB Taps,Hip Rotation,3 - Loading,2,"medicine ball","Split-stance med-ball taps in a stride-like position to train front-leg bracing and rhythmic rotation off a stable front side.","3 x 6 each",Tread Athletics (X / @TreadHQ),https://x.com/TreadHQ/status/1883960310689857815,,Phase 3,3,"Tread weight-room lead-leg-block list (5/7). relevance: stride-specific bracing rep — front leg posts while trunk rotates, mirroring the block Landon needs."
